,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
73,GA,2015,67822919,5762788,806210,/,0.0,6.0,7.0,4.0,0.0,0.0
74,GA,2016,68832714,5629746,955746,/,0.0,6.0,7.0,3.0,0.0,0.0
75,GA,2017,62295847,5561195,835107,/,0.0,6.0,6.0,3.0,0.0,0.0
76,GA,2018,62615237,6035282,646851,/,0.0,6.0,5.0,3.0,0.0,0.0
77,HI,2012,9002385,449058,34707,/,0.0,16.0,3.0,3.0,0.0,0.0
78,HI,2013,8433448,402093,36760,/,0.0,16.0,3.0,3.0,0.0,0.0
79,HI,2014,8618319,389865,34955,/,0.0,15.0,3.0,3.0,0.0,0.0
80,HI,2015,8476439,389086,34235,/,0.0,15.0,3.0,3.0,0.0,0.0
81,HI,2016,8307413,328296,34096,/,0.0,15.0,3.0,3.0,0.0,0.0
82,HI,2017,7831066,329809,29164,/,0.0,15.0,3.0,3.0,0.0,0.0
83,HI,2018,7853288,356888,31101,/,0.0,14.0,3.0,3.0,0.0,0.0
84,ID,2012,3224664,439437,28062,52716,0.0,6.0,4.0,2.0,0.0,0.0
85,ID,2013,4121630,595299,13106,41443,0.0,6.0,5.0,2.0,0.0,0.0
86,ID,2014,3598793,568566,11635,38633,0.0,6.0,5.0,2.0,0.0,0.0
87,ID,2015,4189643,657680,11526,53311,0.0,8.0,5.0,2.0,0.0,0.0
88,ID,2016,3905882,613376,10402,67836,0.0,8.0,5.0,2.0,0.0,0.0
89,ID,2017,3790158,595248,9578,45753,0.0,9.0,5.0,2.0,0.0,0.0
90,ID,2018,3762251,563705,9705,50669,0.0,8.0,5.0,2.0,0.0,0.0
91,IL,2012,120217587,7788190,666095,1766538,0.0,20.0,18.0,3.0,0.0,0.0
92,IL,2013,122960612,8092836,654057,2479664,0.0,22.0,18.0,2.0,0.0,0.0
93,IL,2014,121941962,7980578,529376,1465387,0.0,19.0,19.0,2.0,0.0,0.0
94,IL,2015,109192848,9270514,481262,1092957,0.0,19.0,19.0,2.0,0.0,0.0
95,IL,2016,96390512,9130575,407616,868370,0.0,19.0,17.0,2.0,0.0,0.0
96,IL,2017,93157350,7332914,392019,946365,0.0,20.0,13.0,1.0,0.0,0.0
97,IL,2018,97792906,6476368,506608,935118,0.0,18.0,12.0,1.0,0.0,0.0
98,,2012,148643197,6469836,651622,200140,,,,,,
99,,2013,149530450,6500050,508009,203444,,,,,,
100,,2014,153565562,6450999,523286,303211,,,,,,
101,,2015,135228766,6595353,435616,289834,,,,,,
102,,2016,132281876,5929805,409760,253087,,,,,,
103,,2017,131660934,5848882,396793,180607,,,,,,
104,,2018,139107023,6020561,422149,281807,,,,,,
105,IA,2012,53709131,1766165,1171230,/,0.0,10.0,10.0,6.0,0.0,0.0
106,IA,2013,51815222,1626488,1008033,/,0.0,10.0,9.0,6.0,0.0,0.0
107,IA,2014,52419737,1520037,1034984,/,0.0,10.0,8.0,6.0,0.0,0.0
108,IA,2015,47855064,1566947,929735,/,0.0,10.0,8.0,6.0,0.0,0.0
109,IA,2016,43738098,1577633,913086,/,0.0,10.0,8.0,7.0,0.0,0.0
110,IA,2017,47829366,1698806,867947,/,0.0,10.0,9.0,7.0,0.0,0.0
111,IA,2018,52996224,1695519,911299,/,0.0,11.0,8.0,7.0,0.0,0.0
