,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
314,UT,2018,33600025,208819,140453,,0.0,22.0,8.0,4.0,0.0,0.0
315,VT,2012,36510,5702,4668,,0.0,9.0,5.0,10.0,0.0,0.0
316,VT,2013,36050,61,124,,0.0,10.0,5.0,10.0,0.0,0.0
317,VT,2014,36312,2958,76,,0.0,10.0,5.0,10.0,0.0,0.0
318,VT,2015,39289,3684,76,,0.0,9.0,5.0,10.0,0.0,0.0
319,VT,2016,37718,3806,21,,0.0,9.0,5.0,9.0,0.0,0.0
320,VT,2017,36297,17,21,,0.0,9.0,5.0,10.0,0.0,0.0
321,VT,2018,37333,18,22,,0.0,11.0,4.0,10.0,0.0,0.0
322,VA,2012,31818558,437466,174043,,0.0,19.0,14.0,5.0,0.0,0.0
323,VA,2013,36883768,388972,156761,,0.0,20.0,14.0,4.0,0.0,0.0
324,VA,2014,36137665,374363,158498,,0.0,19.0,14.0,3.0,0.0,0.0
325,VA,2015,36823988,365497,145363,,0.0,18.0,12.0,3.0,0.0,0.0
326,VA,2016,39374011,424940,138959,,0.0,18.0,11.0,3.0,0.0,0.0
327,VA,2017,35016710,361724,101226,,0.0,18.0,11.0,2.0,0.0,0.0
328,VA,2018,36056866,336713,95428,,0.0,17.0,11.0,2.0,0.0,0.0
329,,2012,14829018,212026,273728,,,,,,,
330,,2013,20900934,191381,231808,,,,,,,
331,,2014,20505107,169479,209416,,,,,,,
332,,2015,19517277,149557,218530,,,,,,,
333,,2016,18577850,165270,210717,,,,,,,
334,,2017,18947235,208060,206188,,,,,,,
335,,2018,18914420,166547,180710,,,,,,,
336,WV,2012,69701838,538585,342031,682861,0.0,8.0,4.0,1.0,0.0,0.0
337,WV,2013,71488664,519411,348404,542938,0.0,7.0,5.0,1.0,0.0,0.0
338,WV,2014,76764371,532276,360053,531642,0.0,7.0,5.0,1.0,0.0,0.0
339,WV,2015,69764714,496408,333674,565509,0.0,8.0,5.0,1.0,0.0,0.0
340,WV,2016,72473502,464759,349428,562563,0.0,8.0,5.0,1.0,0.0,0.0
341,WV,2017,69750990,445275,335471,243451,0.0,9.0,5.0,1.0,0.0,0.0
342,WV,2018,63876271,442987,306650,580160,0.0,8.0,3.0,1.0,0.0,0.0
343,WI,2012,45751387,230654,244308,,0.0,12.0,11.0,11.0,0.0,0.0
344,WI,2013,51865201,181648,257394,,0.0,11.0,11.0,11.0,0.0,0.0
345,WI,2014,48386188,213334,240457,,0.0,11.0,10.0,11.0,0.0,0.0
346,WI,2015,50010112,184043,234648,,0.0,11.0,10.0,11.0,0.0,0.0
347,WI,2016,46462015,188750,208953,,0.0,11.0,10.0,12.0,0.0,0.0
348,WI,2017,48623201,199869,222482,,0.0,13.0,9.0,12.0,0.0,0.0
349,WI,2018,46635639,205928,206153,,0.0,13.0,9.0,12.0,0.0,0.0
350,WY,2012,65830664,450255,344188,,0.0,5.0,2.0,1.0,0.0,0.0
351,WY,2013,66049233,414683,437468,,0.0,7.0,3.0,1.0,0.0,0.0
352,WY,2014,61484914,351584,382337,,0.0,6.0,3.0,1.0,0.0,0.0
353,WY,2015,61879591,285047,387196,,0.0,9.0,4.0,3.0,0.0,0.0
354,WY,2016,56589383,321505,289313,,0.0,8.0,4.0,3.0,0.0,0.0
355,WY,2017,59290945,297810,316709,,0.0,8.0,4.0,3.0,0.0,0.0
356,WY,2018,58332655,279305,254893,,0.0,7.0,3.0,3.0,0.0,0.0
