STATE,YEAR,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
MS,2018,0,9,2,1,0,0
MO,2012,0,7,6,1,0,0
MO,2013,0,7,5,1,0,0
MO,2014,0,9,6,1,0,0
MO,2015,0,9,6,1,0,0
MO,2016,0,10,4,1,0,0
MO,2017,0,10,6,0,0,0
MO,2018,0,10,6,0,0,0
MO,2019,0,10,5,1,0,0
MO,2020,0,10,5,0,0,0
MT,2012,0,9,9,0,0,0
MT,2013,0,7,9,0,0,0
MT,2014,0,7,9,0,0,0
MT,2015,0,8,9,0,0,0
MT,2016,0,8,9,0,0,0
MT,2017,0,9,9,0,0,0
MT,2018,0,8,9,0,0,0
MT,2019,0,9,8,0,0,0
MT,2020,0,9,8,0,0,0
NE,2012,0,7,9,4,0,0
NE,2013,0,6,8,4,0,0
NE,2014,0,5,8,4,0,0
NE,2015,0,5,11,4,0,0
NE,2016,0,5,10,4,0,0
NE,2017,0,4,11,4,0,0
NE,2018,0,4,12,4,0,0
NE,2019,0,5,9,4,0,0
NE,2020,0,5,9,4,0,0
NV,2012,0,10,3,2,0,0
NV,2013,0,11,3,2,0,0
NV,2014,0,12,3,2,0,0
NV,2015,0,11,3,2,0,0
NV,2016,0,10,3,2,0,0
NV,2017,0,13,3,2,0,0
NV,2018,0,12,2,2,0,0
NV,2019,0,14,3,3,0,0
NV,2020,0,13,3,3,0,0
NH,2012,0,11,4,3,0,0
NH,2013,0,12,3,3,0,0
NH,2014,0,13,3,3,0,0
NH,2015,0,12,3,3,0,0
NH,2016,0,12,3,3,0,0
NH,2017,0,12,2,3,0,0
NH,2018,0,19,2,3,0,0
NH,2019,0,19,2,3,0,0
NH,2020,0,19,2,3,0,0
NJ,2012,0,13,9,5,0,0
NJ,2013,0,14,9,4,0,0
NJ,2014,0,14,9,3,0,0
NJ,2015,0,15,9,3,0,0
NJ,2016,0,14,9,3,0,0
NJ,2017,0,14,9,3,0,0
NJ,2018,0,15,10,2,0,0
NJ,2019,0,17,9,0,0,0
NJ,2020,0,19,10,0,0,0
NM,2012,0,10,10,0,0,0
NM,2013,0,10,9,0,0,0
NM,2014,0,8,10,0,0,0
NM,2015,0,8,11,0,0,0
NM,2016,0,8,11,0,0,0
NM,2017,0,8,11,0,0,0
