,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,cluster
92,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,0
93,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514,0
94,IN,2015,135228766,6595353,435616,289834,14,15,5,0.042296181,0
95,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,0
96,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227,0
97,IN,2018,139107023,6020561,422149,281807,16,12,2,0.041615262,0
98,IA,2012,53709131,1766165,1171230,,10,10,6,0.046629822,1
99,IA,2013,51815222,1626488,1008033,,10,9,6,0.041200044,1
100,IA,2014,52419737,1520037,1034984,,10,8,6,0.0398395,1
101,IA,2015,47855064,1566947,929735,,10,8,6,0.039852256,1
102,IA,2016,43738098,1577633,913086,,10,8,7,0.038991622,1
103,IA,2017,47829366,1698806,867947,,10,9,7,0.040328389,1
104,IA,2018,52996224,1695519,911299,,11,8,7,0.040043028,1
105,KS,2012,42097928,2642766,430732,,7,9,2,0.051391567,1
106,KS,2013,43240294,2486994,738229,,7,9,2,0.045404867,1
107,KS,2014,42493127,2525914,780152,,7,9,2,0.045197067,1
108,KS,2015,38392580,2050084,676600,,7,9,2,0.042896727,1
109,KS,2016,36813550,1854976,844480,,7,8,2,0.042901923,1
110,KS,2017,33081451,1562528,849907,,7,8,2,0.04164963,1
111,KS,2018,34535262,1807754,837423,,7,7,2,0.042169556,1
112,KY,2012,98873952,4503727,527961,7121559,7,8,0,0.048222052,0
113,KY,2013,97644549,4133816,505876,7686202,10,7,0,0.041632956,0
114,KY,2014,98031780,4632601,457360,7387400,11,6,0,0.042985505,0
115,KY,2015,89054690,4307180,411408,5947142,9,6,0,0.042264596,0
116,KY,2016,82977455,3761758,374323,4249193,7,6,0,0.042548911,0
117,KY,2017,73491073,3598292,320824,6472816,6,6,0,0.041757033,0
118,KY,2018,77458006,3711271,330434,4689015,6,8,0,0.040965556,0
119,LA,2012,129722804,5487530,2397855,3131129,14,6,3,0.040802736,0
120,LA,2013,128131425,5463144,2532078,883796,12,6,3,0.037876486,0
121,LA,2014,128757921,5601166,2318439,776088,12,5,3,0.037093083,0
122,LA,2015,128910401,5340578,3124836,738352,12,3,3,0.037366227,2
123,LA,2016,130607503,5431698,2093524,417851,11,4,3,0.038477515,0
124,LA,2017,132799235,5447852,1560107,458580,8,4,3,0.037303792,0
125,LA,2018,136071325,6293949,1851399,568499,8,4,3,0.036596197,0
126,MA,2012,14983432,1196537,59724,97554,9,7,7,0.043854588,1
127,MA,2013,15563630,1083970,69454,83111,10,7,7,0.041819157,1
128,MA,2014,13813711,1009696,65657,108905,11,10,7,0.039772737,1
